phase,run,version,artifact_filename,artifact_sha256,internal_reported_decision,external_adjudication,artifact_role,note
0,1,v0.1.0,GWBHDCIDA_PHASE0_RUN01_v0.1.0_RESULTS_FOR_REVIEW.zip,ba73efce8b8213a20cfcae186e4f764630b0dd65a94b14290fe7ce04964965e1,NO_GO_PUBLIC_ASSETS_INSUFFICIENT,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,Initial NO_GO was invalidated by implementation/version handling error.
0,2,v0.1.1,GWBHDCIDA_PHASE0_RUN02_v0.1.1_RESULTS_FOR_REVIEW.zip,010f10c105be1c7654ff504c8ff280dd72b3d28a01425889c690c5b59b796d4f,GO_SUMMARY_ONLY,GO_SUMMARY_ONLY,CANONICAL_PHASE,Public feasibility gate canonical closure.
1,1,v0.2.0,GWBHDCIDA_PHASE1_RUN01_v0.2.0_RESULTS_FOR_REVIEW.zip,93028d18e46d4ff0139d970231ba87bd7bd322914acc107fc14a4a4fb44f5a12,HOLD_IMPLEMENTATION_ERROR,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,h5py/runtime dependency implementation hold.
1,2,v0.2.1,GWBHDCIDA_PHASE1_RUN02_v0.2.1_RESULTS_FOR_REVIEW.zip,8fff0728ac806652ef3972078256236283cf128ce96ef099e5e99187e4fb2233,HOLD_SCHEMA_UNRESOLVED,HOLD_SCHEMA_UNRESOLVED,SUPERSEDED_VALID_HOLD,Valid bounded schema hold; resolved by RUN03.
1,3,v0.2.2,GWBHDCIDA_PHASE1_RUN03_v0.2.2_RESULTS_FOR_REVIEW.zip,b6db61d2b4765c31d889a4010d9cbb4199ee92a3361fa95682090503c3a93a74,SCHEMA_GATE_PASS,SCHEMA_GATE_PASS,CANONICAL_PHASE,Schema gate canonical closure; includes H40/H41 source freeze.
2,1,v0.3.0,GWBHDCIDA_PHASE2_RUN01_v0.3.0_RESULTS.zip,bfe24e41c5c71563be2a1c6d44080f785e1de96b4c7547e7623788301b2b4049,HOLD_IMPLEMENTATION_ERROR,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,Mapping implementation error.
2,2,v0.3.1,GWBHDCIDA_PHASE2_RUN02_v0.3.1_RESULTS_FOR_REVIEW.zip,ebc4ef1bda15da573339abe6b6115efe19093d6a4b3d4656cc012326d0fe9c5c,MAPPING_FREEZE_PASS,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,Internal pass externally invalidated by stale source reference.
2,3,v0.3.2,GWBHDCIDA_PHASE2_RUN03_v0.3.2_RESULTS_FOR_REVIEW.zip,f4ea865f2baa48e4d227e791a7f43ecf072c578265eef849e0542b05a78a20cc,MAPPING_FREEZE_PASS,MAPPING_FREEZE_PASS,CANONICAL_PHASE,Mapping freeze canonical closure.
3,1,v0.4.0,GWBHDCIDA_PHASE3_RUN01_v0.4.0_RESULTS_FOR_REVIEW.zip,63bf51075fc7049bcadfb61c700655e692deb647e4593c84336fa0805a6258c8,CONFIRMATORY_CONTRACT_FROZEN,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,External review found C2/C3/P01/validation contract defects.
3,2,v0.4.1,GWBHDCIDA_PHASE3_RUN02_v0.4.1_RESULTS_FOR_REVIEW.zip,8d98bf579e63347228f54c9223ddbfa52311ef7ce43d49a48f3d58715f63d9fe,CONFIRMATORY_CONTRACT_FROZEN,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED,External review found missing numeric edge-case contract.
3,3,v0.4.2,GWBHDCIDA_PHASE3_RUN03_v0.4.2_RESULTS_FOR_REVIEW.zip,3de4efa7ae3dbe0e553ec26a4a9b135ddfb577c6e4555267047d890fa027e47d,CONFIRMATORY_CONTRACT_FROZEN,CONFIRMATORY_CONTRACT_FROZEN,CANONICAL_PHASE,Confirmatory contract canonical freeze before event-level unblinding.
4,1,v0.5.0,GWBHDCIDA_PHASE4_RUN01_v0.5.0_RESULTS_FOR_REVIEW.zip,e715e98e9a532539e61c601a9219e4e826f4b9604fcba1e804cce9bcc64d8f6b,HOLD_IMPLEMENTATION_ERROR,HOLD_IMPLEMENTATION_ERROR,SUPERSEDED_PARTIAL_READ,Partial event-level read recorded; manual dtype-order transcription error.
4,2,v0.5.1,GWBHDCIDA_PHASE4_RUN02_v0.5.1_RESULTS_FOR_REVIEW.zip,9e82c20b7159e4bf5e0d5ab6f838d7ce036775570b3fe158ba1f248b32412071,HOLD_MANUAL_IDENTITY_REVIEW,CANONICAL_EXTRACTION_COMPONENT,CANONICAL_COMPONENT,10/10 controlled dataset extraction; identity absence was over-stopped as manual review.
4,3,v0.5.2,GWBHDCIDA_PHASE4_RUN03_v0.5.2_RESULTS_FOR_REVIEW.zip,c49a3bb38500508a37764ae78cab0711cdef0ef00c0f48ec0b23d270fef9c435,EXTRACTION_REVIEW_PASS,EXTRACTION_REVIEW_PASS,CANONICAL_PHASE,Offline identity adjudication; Phase 4 closure.
